,File_Name,ID,Class,sample_rate,num_channel,bit_depth
0,4666.wav,4666,engine_idling,44100,2,PCM_16
1,2217.wav,2217,engine_idling,48000,1,PCM_24
2,7409.wav,7409,drilling,44100,2,PCM_16
3,1078.wav,1078,car_horn,44100,2,PCM_16
4,6717.wav,6717,children_playing,44100,2,PCM_16
5,2571.wav,2571,street_music,44100,2,PCM_16
6,4100.wav,4100,siren,48000,2,PCM_16
7,6703.wav,6703,drilling,22050,1,PCM_U8
8,8048.wav,8048,engine_idling,44100,2,PCM_24
9,4672.wav,4672,street_music,44100,2,PCM_16
10,1722.wav,1722,drilling,96000,2,PCM_16
11,8060.wav,8060,children_playing,44100,2,PCM_16
12,3135.wav,3135,car_horn,44100,2,PCM_16
13,5544.wav,5544,children_playing,44100,2,PCM_24
14,3653.wav,3653,air_conditioner,44100,2,PCM_24
15,8706.wav,8706,siren,48000,2,PCM_24
16,1044.wav,1044,street_music,44100,2,PCM_16
17,8712.wav,8712,jackhammer,44100,2,PCM_24
18,5236.wav,5236,car_horn,44100,2,PCM_16
19,3647.wav,3647,children_playing,44100,2,PCM_16
20,4128.wav,4128,dog_bark,48000,2,PCM_16
21,3121.wav,3121,dog_bark,44100,2,PCM_16
22,4896.wav,4896,drilling,96000,2,PCM_24
23,6059.wav,6059,dog_bark,96000,2,PCM_16
24,1736.wav,1736,children_playing,44100,2,PCM_16
25,8074.wav,8074,car_horn,48000,2,PCM_16
26,7347.wav,7347,gun_shot,44100,2,PCM_16
27,249.wav,249,siren,44100,2,PCM_16
28,6918.wav,6918,dog_bark,96000,2,PCM_24
29,3860.wav,3860,dog_bark,44100,2,PCM_16
30,5587.wav,5587,car_horn,48000,2,PCM_16
31,275.wav,275,jackhammer,44100,2,PCM_16
32,1087.wav,1087,air_conditioner,48000,2,PCM_16
33,513.wav,513,jackhammer,48000,2,PCM_24
34,3848.wav,3848,children_playing,44100,2,PCM_24
35,507.wav,507,dog_bark,44100,2,PCM_16
36,7384.wav,7384,dog_bark,44100,2,PCM_16
37,261.wav,261,gun_shot,48000,2,PCM_16
38,2773.wav,2773,children_playing,44100,2,PCM_16
39,6515.wav,6515,dog_bark,48000,2,PCM_24
40,8538.wav,8538,gun_shot,96000,2,PCM_24
41,4464.wav,4464,air_conditioner,44100,2,PCM_24
42,2001.wav,2001,dog_bark,96000,2,PCM_16
43,7179.wav,7179,jackhammer,96000,2,PCM_16
44,1508.wav,1508,dog_bark,44100,2,PCM_16
45,922.wav,922,siren,48000,2,PCM_24
46,4316.wav,4316,jackhammer,48000,2,PCM_24
47,6529.wav,6529,children_playing,48000,1,PCM_24
48,1246.wav,1246,gun_shot,44100,2,PCM_16
49,2997.wav,2997,drilling,48000,2,PCM_16
50,3451.wav,3451,air_conditioner,44100,2,PCM_16
51,5746.wav,5746,gun_shot,96000,2,PCM_24
52,2029.wav,2029,siren,48000,2,PCM_16
53,3337.wav,3337,air_conditioner,44100,2,PCM_16
54,4458.wav,4458,jackhammer,48000,2,PCM_16
55,7151.wav,7151,car_horn,16000,1,PCM_16
56,8262.wav,8262,siren,44100,2,PCM_16
57,1520.wav,1520,gun_shot,44100,2,PCM_16
58,7145.wav,7145,street_music,44100,2,PCM_16
59,1534.wav,1534,jackhammer,48000,2,PCM_24
60,3323.wav,3323,gun_shot,44100,2,PCM_16
61,2983.wav,2983,jackhammer,96000,2,PCM_24
62,3445.wav,3445,gun_shot,96000,2,PCM_16
63,5034.wav,5034,drilling,44100,2,PCM_16
64,1252.wav,1252,jackhammer,44100,2,PCM_16
65,7623.wav,7623,street_music,44100,2,PCM_16
66,8510.wav,8510,drilling,44100,2,PCM_16
67,7810.wav,7810,children_playing,48000,1,PCM_24
68,8289.wav,8289,air_conditioner,48000,1,PCM_16
69,739.wav,739,dog_bark,44100,2,PCM_16
70,7804.wav,7804,drilling,44100,2,PCM_16
71,2954.wav,2954,air_conditioner,44100,2,PCM_24
72,3492.wav,3492,dog_bark,44100,2,PCM_16
73,5949.wav,5949,car_horn,48000,2,PCM_16
74,5791.wav,5791,engine_idling,48000,2,PCM_16
75,6298.wav,6298,children_playing,44100,2,PCM_16
76,7838.wav,7838,siren,44100,2,PCM_16
77,705.wav,705,drilling,44100,2,PCM_24
78,2940.wav,2940,air_conditioner,44100,2,PCM_24
79,3486.wav,3486,jackhammer,44100,2,FLOAT
80,2607.wav,2607,dog_bark,48000,2,PCM_24
81,3519.wav,3519,siren,48000,2,PCM_24
82,6461.wav,6461,air_conditioner,48000,2,PCM_16
83,1468.wav,1468,drilling,44100,2,PCM_16
84,7019.wav,7019,street_music,44100,2,PCM_16
85,4510.wav,4510,engine_idling,44100,2,PCM_16
86,4504.wav,4504,children_playing,44100,2,PCM_16
87,8458.wav,8458,air_conditioner,48000,2,PCM_16
88,6475.wav,6475,dog_bark,96000,2,PCM_24
89,2613.wav,2613,jackhammer,48000,2,PCM_24
90,4262.wav,4262,street_music,24000,2,PCM_16
91,7743.wav,7743,children_playing,48000,2,PCM_24
92,8470.wav,8470,street_music,44100,2,PCM_24
93,1332.wav,1332,siren,48000,2,PCM_16
94,5154.wav,5154,street_music,96000,2,PCM_24
95,3525.wav,3525,air_conditioner,44100,2,PCM_16
96,1454.wav,1454,siren,44100,2,PCM_16
97,7025.wav,7025,engine_idling,44100,2,PCM_16
98,7031.wav,7031,engine_idling,44100,2,PCM_16
99,8302.wav,8302,air_conditioner,48000,2,PCM_24
100,3257.wav,3257,air_conditioner,48000,2,PCM_16
101,2149.wav,2149,engine_idling,44100,2,PCM_16
102,5626.wav,5626,children_playing,48000,2,PCM_16
103,5140.wav,5140,dog_bark,44100,2,PCM_16
104,3531.wav,3531,dog_bark,48000,2,PCM_16
105,8464.wav,8464,drilling,48000,2,PCM_24
106,1326.wav,1326,air_conditioner,48000,2,PCM_16
107,6449.wav,6449,siren,44100,2,PCM_16
108,659.wav,659,air_conditioner,44100,2,PCM_16
109,7964.wav,7964,drilling,44100,2,PCM_16
110,881.wav,881,children_playing,48000,2,PCM_16
111,5815.wav,5815,car_horn,44100,2,PCM_16
112,2808.wav,2808,children_playing,48000,2,PCM_16
113,7970.wav,7970,dog_bark,44100,2,PCM_16
114,4289.wav,4289,jackhammer,96000,2,PCM_24
115,665.wav,665,air_conditioner,44100,2,PCM_16
116,7780.wav,7780,car_horn,44100,2,PCM_16
117,103.wav,103,air_conditioner,48000,2,PCM_16
118,1497.wav,1497,children_playing,48000,2,PCM_24
119,5829.wav,5829,jackhammer,44100,2,PCM_16
120,3294.wav,3294,street_music,96000,2,PCM_24
121,1483.wav,1483,engine_idling,48000,2,PCM_24
122,117.wav,117,engine_idling,48000,2,PCM_24
123,671.wav,671,dog_bark,44100,2,PCM_16
124,5183.wav,5183,jackhammer,44100,2,PCM_16
125,2363.wav,2363,siren,44100,2,PCM_16
126,8128.wav,8128,car_horn,48000,2,PCM_24
127,498.wav,498,street_music,44100,2,PCM_16
128,2405.wav,2405,drilling,44100,2,PCM_16
129,2411.wav,2411,children_playing,44100,2,PCM_16
130,6677.wav,6677,dog_bark,44100,2,PCM_24
131,1118.wav,1118,dog_bark,48000,2,PCM_24
132,7569.wav,7569,jackhammer,48000,2,PCM_16
133,5418.wav,5418,street_music,44100,2,PCM_16
134,3069.wav,3069,children_playing,96000,2,PCM_24
135,8114.wav,8114,street_music,44100,2,PCM_16
136,7227.wav,7227,dog_bark,44100,2,PCM_16
137,1656.wav,1656,gun_shot,44100,2,PCM_16
138,6139.wav,6139,dog_bark,48000,2,PCM_16
139,2439.wav,2439,siren,44100,2,PCM_16
140,5356.wav,5356,jackhammer,44100,2,PCM_16
141,7541.wav,7541,engine_idling,44100,2,PCM_16
142,6893.wav,6893,drilling,44100,2,PCM_24
143,8666.wav,8666,drilling,44100,2,PCM_16
144,3055.wav,3055,engine_idling,44100,2,PCM_16
145,8100.wav,8100,children_playing,44100,2,PCM_16
146,7233.wav,7233,gun_shot,96000,2,PCM_24
147,1871.wav,1871,jackhammer,96000,2,PCM_24
148,4909.wav,4909,air_conditioner,44100,2,PCM_16
149,3900.wav,3900,children_playing,44100,1,PCM_24
150,6878.wav,6878,street_music,44100,2,PCM_16
151,8699.wav,8699,street_music,44100,2,PCM_16
152,3914.wav,3914,engine_idling,44100,2,PCM_16
153,329.wav,329,car_horn,44100,2,PCM_16
154,3082.wav,3082,drilling,96000,2,PCM_16
155,1695.wav,1695,engine_idling,48000,2,FLOAT
156,301.wav,301,children_playing,96000,2,PCM_24
157,6844.wav,6844,street_music,44100,2,PCM_16
158,7582.wav,7582,jackhammer,44100,2,PCM_16
159,467.wav,467,siren,48000,2,PCM_16
160,5395.wav,5395,siren,48000,2,PCM_16
161,6850.wav,6850,engine_idling,48000,2,FLOAT
162,7596.wav,7596,street_music,48000,1,PCM_16
163,473.wav,473,children_playing,96000,2,PCM_24
164,315.wav,315,jackhammer,48000,2,PCM_16
165,1681.wav,1681,jackhammer,48000,2,PCM_16
166,3096.wav,3096,air_conditioner,48000,2,PCM_24
167,4921.wav,4921,dog_bark,44100,2,PCM_16
168,2388.wav,2388,drilling,48000,2,PCM_16
169,472.wav,472,gun_shot,44100,2,PCM_16
170,6689.wav,6689,drilling,44100,2,PCM_16
171,7597.wav,7597,siren,48000,2,PCM_24
172,6851.wav,6851,jackhammer,48000,2,PCM_16
173,3929.wav,3929,jackhammer,44100,2,PCM_16
174,5380.wav,5380,siren,48000,2,PCM_24
175,2389.wav,2389,siren,11025,1,PCM_U8
176,4920.wav,4920,drilling,44100,2,PCM_16
177,3097.wav,3097,street_music,44100,2,PCM_24
178,1858.wav,1858,engine_idling,48000,2,PCM_24
179,1680.wav,1680,siren,44100,2,PCM_16
180,314.wav,314,street_music,48000,2,PCM_16
181,300.wav,300,car_horn,44100,2,PCM_16
182,4934.wav,4934,car_horn,44100,2,PCM_16
183,5394.wav,5394,air_conditioner,44100,2,PCM_24
184,3915.wav,3915,children_playing,44100,2,PCM_16
185,1864.wav,1864,air_conditioner,48000,2,PCM_16
186,328.wav,328,air_conditioner,44100,2,PCM_16
187,1870.wav,1870,street_music,44100,2,PCM_24
188,6879.wav,6879,street_music,44100,2,PCM_16
189,5343.wav,5343,car_horn,44100,2,PCM_16
190,3732.wav,3732,air_conditioner,44100,2,PCM_16
191,8667.wav,8667,air_conditioner,44100,2,PCM_16
192,6892.wav,6892,air_conditioner,44100,2,PCM_16
193,7232.wav,7232,dog_bark,44100,1,PCM_16
194,8101.wav,8101,siren,48000,2,PCM_24
195,3054.wav,3054,dog_bark,44100,2,PCM_16
196,6138.wav,6138,drilling,48000,2,PCM_16
197,7226.wav,7226,air_conditioner,44100,2,PCM_16
198,8673.wav,8673,dog_bark,44100,1,PCM_24
199,6886.wav,6886,jackhammer,44100,2,FLOAT
200,1131.wav,1131,engine_idling,44100,2,PCM_16
201,5357.wav,5357,drilling,44100,2,PCM_16
202,2438.wav,2438,street_music,44100,2,PCM_24
203,3726.wav,3726,dog_bark,44100,1,PCM_16
204,4049.wav,4049,dog_bark,44100,1,PCM_16
205,7568.wav,7568,drilling,96000,2,PCM_24
206,1119.wav,1119,siren,48000,2,PCM_16
207,6676.wav,6676,street_music,44100,2,PCM_16
208,2410.wav,2410,children_playing,44100,2,PCM_24
209,4707.wav,4707,siren,44100,1,PCM_16
210,3068.wav,3068,dog_bark,44100,2,PCM_16
211,6104.wav,6104,siren,44100,2,PCM_16
212,2404.wav,2404,car_horn,48000,2,PCM_24
213,4075.wav,4075,dog_bark,48000,2,PCM_16
214,6662.wav,6662,air_conditioner,44100,2,PCM_24
215,116.wav,116,drilling,44100,2,PCM_16
216,2835.wav,2835,siren,48000,2,PCM_16
217,7795.wav,7795,street_music,24000,2,PCM_16
218,670.wav,670,street_music,8000,2,PCM_16
219,664.wav,664,jackhammer,44100,2,FLOAT
220,7959.wav,7959,engine_idling,44100,2,PCM_16
221,5196.wav,5196,children_playing,44100,2,PCM_24
222,4288.wav,4288,drilling,44100,2,PCM_16
223,2821.wav,2821,jackhammer,48000,2,PCM_16
224,3281.wav,3281,children_playing,44100,2,PCM_16
225,1496.wav,1496,gun_shot,48000,2,PCM_24
226,5800.wav,5800,jackhammer,48000,2,PCM_16
227,894.wav,894,engine_idling,44100,1,PCM_24
228,7965.wav,7965,dog_bark,44100,1,PCM_16
229,658.wav,658,dog_bark,44100,2,PCM_16
230,5627.wav,5627,engine_idling,48000,2,PCM_24
231,2148.wav,2148,siren,48000,2,PCM_16
232,4539.wav,4539,jackhammer,44100,2,PCM_24
233,7030.wav,7030,street_music,44100,2,PCM_16
234,6448.wav,6448,engine_idling,44100,2,PCM_16
235,1327.wav,1327,air_conditioner,48000,2,PCM_24
236,8465.wav,8465,dog_bark,48000,2,PCM_24
237,7756.wav,7756,air_conditioner,44100,2,PCM_24
238,5141.wav,5141,engine_idling,48000,2,PCM_16
239,8471.wav,8471,drilling,44100,1,PCM_16
240,7742.wav,7742,air_conditioner,44100,2,PCM_24
241,8317.wav,8317,children_playing,48000,2,PCM_24
242,2174.wav,2174,street_music,44100,2,PCM_16
243,4263.wav,4263,dog_bark,48000,2,PCM_16
244,2612.wav,2612,air_conditioner,44100,2,PCM_24
245,6474.wav,6474,engine_idling,48000,2,PCM_24
246,17.wav,17,engine_idling,96000,2,PCM_24
247,8459.wav,8459,jackhammer,48000,2,PCM_24
248,857.wav,857,dog_bark,48000,1,PCM_16
249,6460.wav,6460,street_music,44100,2,PCM_16
250,843.wav,843,siren,11025,1,PCM_U8
251,4277.wav,4277,dog_bark,44100,2,PCM_16
252,3518.wav,3518,jackhammer,44100,2,PCM_16
253,5169.wav,5169,dog_bark,96000,2,PCM_24
254,2160.wav,2160,air_conditioner,44100,2,PCM_24
255,4511.wav,4511,jackhammer,44100,2,PCM_16
256,7018.wav,7018,drilling,44100,2,PCM_16
257,1469.wav,1469,drilling,44100,2,PCM_16
258,7187.wav,7187,drilling,44100,2,PCM_16
259,5790.wav,5790,air_conditioner,44100,2,PCM_16
260,5948.wav,5948,dog_bark,44100,2,PCM_16
261,704.wav,704,street_music,44100,2,PCM_24
262,7839.wav,7839,street_music,48000,2,PCM_24
263,710.wav,710,street_music,44100,2,PCM_16
264,3493.wav,3493,street_music,96000,2,PCM_16
265,2955.wav,2955,siren,48000,2,PCM_24
266,5784.wav,5784,engine_idling,44100,2,PCM_16
267,738.wav,738,engine_idling,48000,2,PCM_24
268,2969.wav,2969,dog_bark,44100,2,PCM_24
269,5960.wav,5960,street_music,44100,2,PCM_24
270,3322.wav,3322,engine_idling,48000,2,PCM_24
271,8277.wav,8277,siren,48000,2,PCM_24
272,7144.wav,7144,street_music,48000,2,PCM_24
273,8511.wav,8511,engine_idling,44100,2,PCM_16
274,7622.wav,7622,engine_idling,48000,2,PCM_16
275,5035.wav,5035,jackhammer,44100,2,FLOAT
276,3444.wav,3444,drilling,44100,2,PCM_16
277,2982.wav,2982,children_playing,48000,2,PCM_24
278,5021.wav,5021,street_music,44100,2,PCM_16
279,2996.wav,2996,drilling,44100,2,PCM_16
280,7636.wav,7636,children_playing,48000,1,PCM_24
281,6528.wav,6528,street_music,44100,2,PCM_16
282,1521.wav,1521,dog_bark,48000,1,PCM_24
283,8263.wav,8263,dog_bark,96000,2,PCM_24
284,7150.wav,7150,siren,48000,2,PCM_24
285,4459.wav,4459,car_horn,48000,2,PCM_16
286,3336.wav,3336,drilling,44100,2,PCM_16
287,2028.wav,2028,children_playing,48000,2,PCM_16
288,6266.wav,6266,street_music,44100,2,PCM_16
289,7178.wav,7178,drilling,44100,2,PCM_24
290,2000.wav,2000,car_horn,48000,2,PCM_24
291,2766.wav,2766,siren,44100,2,PCM_24
292,3478.wav,3478,engine_idling,48000,2,PCM_24
293,4317.wav,4317,children_playing,44100,2,PCM_16
294,923.wav,923,siren,48000,2,PCM_24
295,6500.wav,6500,engine_idling,44100,2,PCM_16
296,8539.wav,8539,air_conditioner,44100,2,PCM_24
297,937.wav,937,engine_idling,44100,2,PCM_16
298,4303.wav,4303,car_horn,96000,1,PCM_24
299,6272.wav,6272,engine_idling,44100,2,PCM_16
300,6925.wav,6925,dog_bark,44100,2,PCM_16
301,1092.wav,1092,children_playing,44100,2,PCM_16
302,506.wav,506,drilling,44100,2,PCM_16
303,3685.wav,3685,siren,44100,2,PCM_16
304,5592.wav,5592,drilling,44100,2,PCM_24
305,4854.wav,4854,engine_idling,44100,2,PCM_16
306,260.wav,260,children_playing,44100,2,PCM_16
307,7385.wav,7385,dog_bark,96000,2,PCM_24
308,1938.wav,1938,car_horn,44100,2,PCM_16
309,4698.wav,4698,street_music,48000,2,PCM_24
310,5586.wav,5586,jackhammer,44100,2,PCM_16
311,4840.wav,4840,air_conditioner,44100,2,PCM_24
312,3691.wav,3691,drilling,44100,2,PCM_16
313,6931.wav,6931,siren,44100,2,PCM_16
314,512.wav,512,engine_idling,48000,1,PCM_24
315,3861.wav,3861,engine_idling,48000,2,PCM_24
316,1910.wav,1910,air_conditioner,44100,2,PCM_24
317,248.wav,248,siren,48000,2,PCM_16
318,1904.wav,1904,air_conditioner,44100,2,PCM_16
319,4129.wav,4129,jackhammer,44100,2,FLOAT
320,3646.wav,3646,engine_idling,44100,2,PCM_16
321,2558.wav,2558,dog_bark,44100,2,PCM_16
